trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
12989,2548.0,3598.4478,-4642.065158394171,11838.960406807257,35,2024-08-27,1,16481.025565201428
12995,2991.0,3117.0913,-6596.9282735676825,12831.11108911944,40,2024-08-27,2,19428.039362687123
13003,2162.0,2511.9475,-5567.639119799858,10591.534162219292,36,2024-08-27,2,16159.17328201915
13009,3000.0,3182.8037,-4640.142123321945,11005.749606232102,34,2024-08-27,1,15645.891729554049
13015,3212.0,2870.1118,-4802.809557581945,10543.033312464757,34,2024-08-27,1,15345.842870046701
13017,3040.0,2951.527,-5555.9792752675485,11459.033245127624,36,2024-08-27,1,17015.012520395172
13019,3033.0,2914.6133,-6172.329913945549,12001.556689114921,39,2024-08-27,2,18173.88660306047
13023,2937.0,3569.0771,-4089.8007152610803,11227.954813771823,34,2024-08-27,1,15317.755529032904
13027,3206.0,2833.9958,-5929.41107686439,11597.402729353098,38,2024-08-27,2,17526.813806217488
13029,3006.0,3169.4954,-5917.4478343442615,12256.438768716209,39,2024-08-27,2,18173.88660306047
13035,3423.0,3362.9907,-6351.028882393366,13077.010480293757,40,2024-08-27,2,19428.039362687123
13037,3304.0,3248.6272,-5838.316106171959,12335.570496888511,39,2024-08-27,2,18173.88660306047
13039,3491.0,3410.9038,-6303.115963050848,13124.923399636275,40,2024-08-27,2,19428.039362687123
13041,3339.0,3511.926,-4728.586761024786,11752.438804176641,35,2024-08-27,1,16481.025565201428
13043,3415.0,3305.265,-6085.430855987898,12695.960712431304,39,2024-08-27,2,18781.391568419203
13048,3821.0,3528.5623,-6185.457297691828,13242.582064995295,40,2024-08-27,2,19428.039362687123
13049,3571.0,3424.4258,-5966.2700699552215,12815.121498463981,39,2024-08-27,2,18781.391568419203
13051,3425.0,3515.2427,-4886.602696836345,11917.08819335734,36,2024-08-27,1,16803.690890193684
13054,3286.0,3761.7107,-3897.1671321922327,11420.58839684067,34,2024-08-27,1,15317.755529032904
13055,3697.0,3470.4243,-5723.217214306267,12664.06589861718,39,2024-08-27,2,18387.283112923447
