segment,direction,mean_width,std_width,median_width,mean_fraction,mean_actual,count,rank_overall
21,1,108.81917261261037,20.076723781977552,107.42794200427468,0.021695060747921244,80.25451774439364,4593,20
22,1,104.67548794840218,18.224078565170338,104.50912544759956,0.020860501234818824,81.70244215938304,4668,28
23,1,102.39865797580957,17.509218622122013,102.46142305860167,0.02046624929394224,91.68183769858308,4658,31
24,1,101.82048848502338,17.73338170865418,100.66821191030945,0.020342879065736154,99.60317460317461,4662,36
25,1,102.07768592605083,19.17702048163534,100.14922570196092,0.020370552646908045,86.18216479559415,4721,35
26,1,102.1074203088011,21.242806606144207,98.66925905910628,0.020313368156078353,64.8994134260265,4603,33
27,1,101.59685150972207,23.77637740773985,95.91337888844701,0.020150155781443878,61.32314311594203,4416,37
28,1,98.95878929064398,25.74845067369842,90.8580332636233,0.01967933298312613,74.68773315777923,4557,49
29,1,96.93773416826878,27.97982239424068,86.69224805609191,0.019279570341420176,75.34052011558124,4499,60
30,1,97.84373716906654,29.40919226170673,87.4456852940007,0.019400278927871828,59.90801576872536,4566,56
31,1,98.75944318148186,29.54340110750599,89.17034656615331,0.019602189420942447,50.62502808357672,4451,51
32,1,98.7692540771976,28.585858549342383,90.1010526159545,0.019863188826924772,67.28099372889533,4146,50
33,1,107.78996657009014,30.385002899066375,103.5793446735363,0.021400523269307303,97.60067825349725,4718,23
34,1,108.00862163068686,30.4814246397416,103.46030568705328,0.021402326682946282,99.24617704070644,4643,21
35,1,103.59273410077687,29.10930291907555,98.06878046736426,0.020625175718994557,78.71132627786534,4441,29
36,1,100.19169688813085,27.415024832613454,97.61562543787267,0.019650649605420727,79.08841940532082,3834,40
37,1,93.3471758698658,24.152011185112748,93.67473696897605,0.017861519174525813,67.83276023757425,3199,65
38,1,89.54946984040511,21.498633667250143,91.43218834129578,0.016935791806691237,65.06975138121547,2896,71
39,1,90.93282337262426,18.074818046197436,92.91717012759385,0.017197216724479773,72.76325837929572,2357,70
40,1,98.68032611085995,13.81233702447987,98.05503491221944,0.018641000200503625,91.57711138310893,1634,53
41,1,102.36448185682187,12.567086862812,101.85725086318801,0.01937517730120838,106.21475953565506,1206,32
42,1,105.39025310671114,12.840118243304564,104.53159157164099,0.020208849976738632,110.42919708029197,685,26
